aeropuerto,iata_code,total_pasajeros,variacion_pct_pasajeros,mes_anio,ranking_pasajeros,pasajeros_anio_anterior,cuota_red_pct,tipo_trafico,total_operaciones,variacion_pct_operaciones,ranking_operaciones,ops_anio_anterior,pct_sobre_red,promedio_diario_ops,ocupacion_estimada_pax_op
Algeciras-Helipuerto,,2795,-4.0,2026-01,39,2911.0,0.01,Mixto,608,-49.7,34,1209,0.35,19.6,188.0
Algeciras-Helipuerto,,2795,-4.0,2026-01,39,2911.0,0.01,Mixto,538,-11.2,35,606,0.31,17.4,146.0
Algeciras-Helipuerto,,2795,-4.0,2026-01,39,2911.0,0.01,Mixto,444,-53.7,38,959,0.26,14.3,163.0
Algeciras-Helipuerto,,2795,-4.0,2026-01,39,2911.0,0.01,Mixto,352,-13.3,40,406,0.2,11.4,160.0
Algeciras-Helipuerto,,2795,-4.0,2026-01,39,2911.0,0.01,Mixto,226,-7.4,44,244,0.13,7.3,140.0
Algeciras-Helipuerto,,2795,-4.0,2026-01,39,2911.0,0.01,Mixto,106,-32.1,47,156,0.06,3.4,127.0
Algeciras-Helipuerto,,2795,-4.0,2026-01,39,2911.0,0.01,Mixto,90,45.2,48,62,0.05,2.9,139.0
Logroño,,1478,18.5,2026-01,40,1247.0,0.01,Mixto,4209,-15.4,13,4975,2.43,135.8,122.0
Logroño,,1478,18.5,2026-01,40,1247.0,0.01,Mixto,3111,-3.9,15,3237,1.79,100.4,165.0
Logroño,,1478,18.5,2026-01,40,1247.0,0.01,Mixto,1290,0.5,21,1284,0.74,41.6,176.0
Logroño,,1478,18.5,2026-01,40,1247.0,0.01,Mixto,643,-10.1,33,715,0.37,20.7,158.0
Logroño,,1478,18.5,2026-01,40,1247.0,0.01,Mixto,608,-49.7,34,1209,0.35,19.6,188.0
Logroño,,1478,18.5,2026-01,40,1247.0,0.01,Mixto,538,-11.2,35,606,0.31,17.4,146.0
Logroño,,1478,18.5,2026-01,40,1247.0,0.01,Mixto,444,-53.7,38,959,0.26,14.3,163.0
Logroño,,1478,18.5,2026-01,40,1247.0,0.01,Mixto,352,-13.3,40,406,0.2,11.4,160.0
Logroño,,1478,18.5,2026-01,40,1247.0,0.01,Mixto,226,-7.4,44,244,0.13,7.3,140.0
Logroño,,1478,18.5,2026-01,40,1247.0,0.01,Mixto,106,-32.1,47,156,0.06,3.4,127.0
Logroño,,1478,18.5,2026-01,40,1247.0,0.01,Mixto,90,45.2,48,62,0.05,2.9,139.0
Reus,REU,589,-57.3,2026-01,41,1379.0,0.0,Mixto,1062,-16.8,26,1276,0.61,34.3,144.0
Albacete,,356,77.1,2026-01,42,201.0,0.0,Mixto,4209,-15.4,13,4975,2.43,135.8,122.0
Albacete,,356,77.1,2026-01,42,201.0,0.0,Mixto,3111,-3.9,15,3237,1.79,100.4,165.0
Albacete,,356,77.1,2026-01,42,201.0,0.0,Mixto,1290,0.5,21,1284,0.74,41.6,176.0
Albacete,,356,77.1,2026-01,42,201.0,0.0,Mixto,643,-10.1,33,715,0.37,20.7,158.0
Albacete,,356,77.1,2026-01,42,201.0,0.0,Mixto,608,-49.7,34,1209,0.35,19.6,188.0
Albacete,,356,77.1,2026-01,42,201.0,0.0,Mixto,538,-11.2,35,606,0.31,17.4,146.0
Albacete,,356,77.1,2026-01,42,201.0,0.0,Mixto,444,-53.7,38,959,0.26,14.3,163.0
Albacete,,356,77.1,2026-01,42,201.0,0.0,Mixto,352,-13.3,40,406,0.2,11.4,160.0
Albacete,,356,77.1,2026-01,42,201.0,0.0,Mixto,226,-7.4,44,244,0.13,7.3,140.0
Albacete,,356,77.1,2026-01,42,201.0,0.0,Mixto,106,-32.1,47,156,0.06,3.4,127.0
Albacete,,356,77.1,2026-01,42,201.0,0.0,Mixto,90,45.2,48,62,0.05,2.9,139.0
Burgos,,285,,2026-01,43,,0.0,Mixto,4209,-15.4,13,4975,2.43,135.8,122.0
Burgos,,285,,2026-01,43,,0.0,Mixto,3111,-3.9,15,3237,1.79,100.4,165.0
Burgos,,285,,2026-01,43,,0.0,Mixto,1290,0.5,21,1284,0.74,41.6,176.0
Burgos,,285,,2026-01,43,,0.0,Mixto,643,-10.1,33,715,0.37,20.7,158.0
Burgos,,285,,2026-01,43,,0.0,Mixto,608,-49.7,34,1209,0.35,19.6,188.0
Burgos,,285,,2026-01,43,,0.0,Mixto,538,-11.2,35,606,0.31,17.4,146.0
Burgos,,285,,2026-01,43,,0.0,Mixto,444,-53.7,38,959,0.26,14.3,163.0
Burgos,,285,,2026-01,43,,0.0,Mixto,352,-13.3,40,406,0.2,11.4,160.0
Burgos,,285,,2026-01,43,,0.0,Mixto,226,-7.4,44,244,0.13,7.3,140.0
Burgos,,285,,2026-01,43,,0.0,Mixto,106,-32.1,47,156,0.06,3.4,127.0
Burgos,,285,,2026-01,43,,0.0,Mixto,90,45.2,48,62,0.05,2.9,139.0
